Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dillon Brooks,SF,28,HOU,9,9,30.9,4.8,8.7,0.551,1.8,3.3,0.533,3.0,5.3,0.563,0.654,2.3,2.8,0.84,0.4,3.8,4.2,2.0,1.1,0.1,2.0,3.4,13.7
Bruce Brown,SG,27,IND,11,11,31.5,4.3,9.4,0.456,1.5,3.8,0.381,2.8,5.5,0.508,0.534,1.3,1.5,0.875,0.7,3.8,4.5,2.7,1.0,0.4,0.9,2.0,11.3
Jaylen Brown,SF,27,BOS,10,10,33.7,8.5,18.5,0.459,2.8,7.7,0.364,5.7,10.8,0.528,0.535,3.1,4.2,0.738,0.5,4.7,5.2,3.2,1.0,0.4,2.5,2.7,22.9
Troy Brown Jr.,SF,24,MIN,8,0,7.3,0.4,1.6,0.231,0.0,0.9,0.0,0.4,0.8,0.5,0.231,1.3,1.3,1.0,0.4,1.6,2.0,0.5,0.4,0.0,0.4,0.3,2.0
Jalen Brunson,PG,27,NYK,11,11,34.9,8.0,18.9,0.423,2.9,6.4,0.457,5.1,12.5,0.406,0.5,3.8,4.6,0.824,0.6,2.4,3.0,4.6,1.0,0.0,2.3,1.9,22.7
Thomas Bryant,C,26,MIA,10,1,12.5,2.1,4.0,0.525,0.0,0.2,0.0,2.1,3.8,0.553,0.525,1.0,1.3,0.769,1.1,2.6,3.7,0.6,0.4,0.3,1.0,1.2,5.2
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Alec Burks,SG,32,DET,6,0,24.3,4.0,9.7,0.414,3.3,6.8,0.488,0.7,2.8,0.235,0.586,4.0,4.7,0.857,0.5,2.5,3.0,3.0,0.3,0.5,0.2,1.8,15.3
Jimmy Butler,PF,34,MIA,9,9,33.8,6.2,13.7,0.455,1.0,2.0,0.5,5.2,11.7,0.448,0.492,6.6,7.7,0.855,2.7,3.2,5.9,3.7,1.4,0.3,1.6,0.7,20.0
Kentavious Caldwell-Pope,SG,30,DEN,11,11,33.8,3.4,7.0,0.481,1.6,3.6,0.45,1.7,3.4,0.514,0.597,1.3,1.5,0.875,0.2,1.6,1.8,1.9,1.7,0.5,1.2,2.5,9.6
Toumani Camara,PF,23,POR,11,2,24.4,1.8,5.5,0.333,0.6,2.4,0.269,1.2,3.1,0.382,0.392,0.9,1.3,0.714,1.9,2.5,4.4,1.5,0.8,0.7,1.1,2.3,5.2
Jevon Carter,PG,28,CHI,12,0,14.8,2.6,5.8,0.443,1.7,3.6,0.465,0.9,2.3,0.407,0.586,0.0,0.1,0.0,0.1,0.4,0.5,1.2,0.7,0.3,0.8,1.3,6.8
Wendell Carter Jr.,C,24,ORL,5,5,29.4,3.4,9.0,0.378,1.0,3.2,0.313,2.4,5.8,0.414,0.433,1.6,2.8,0.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4
Alex Caruso,SG,29,CHI,10,0,23.6,3.1,5.1,0.608,1.3,2.9,0.448,1.8,2.2,0.818,0.735,1.1,1.5,0.733,1.4,2.6,4.0,2.5,1.4,0.8,1.1,2.8,8.6
Julian Champagnie,SF,22,SAS,6,1,11.2,1.3,5.3,0.25,0.7,2.8,0.235,0.7,2.5,0.267,0.313,0.3,0.3,1.0,0.2,1.0,1.2,0.5,0.8,1.0,0.8,0.0,3.7
Max Christie,SG,20,LAL,8,0,14.0,1.1,3.6,0.31,0.3,1.4,0.182,0.9,2.3,0.389,0.345,0.5,0.6,0.8,0.3,2.5,2.8,0.6,0.4,0.1,0.8,1.1,3.0
Jordan Clarkson,SG,31,UTA,11,11,31.5,6.5,15.5,0.421,1.7,5.5,0.311,4.8,10.0,0.482,0.477,2.9,3.5,0.842,1.5,1.9,3.4,4.7,0.9,0.2,3.5,1.5,17.7
Amir Coffey,SF,26,LAC,5,0,7.4,0.4,1.6,0.25,0.0,0.4,0.0,0.4,1.2,0.333,0.25,0.8,0.8,1.0,0.0,0.6,0.6,0.4,0.0,0.0,0.4,0.4,1.6
John Collins,PF,26,UTA,11,11,31.2,5.6,10.8,0.521,1.5,3.6,0.425,4.1,7.2,0.57,0.592,2.1,2.9,0.719,2.6,5.5,8.2,1.0,0.6,0.9,1.3,3.5,14.9
Zach Collins,C,26,SAS,11,11,29.9,5.6,10.5,0.534,1.0,3.7,0.268,4.6,6.8,0.68,0.582,1.6,2.3,0.72,1.9,4.3,6.2,3.7,0.5,1.0,2.7,3.4,13.9
Mike Conley,PG,36,MIN,11,11,28.7,4.0,7.6,0.524,1.9,4.3,0.447,2.1,3.4,0.622,0.649,1.1,1.1,1.0,0.7,2.4,3.1,5.1,0.8,0.1,0.6,1.9,11.0
Pat Connaughton,SF,31,MIL,11,0,22.1,1.8,4.6,0.392,0.8,2.9,0.281,1.0,1.7,0.579,0.48,0.7,0.9,0.8,0.5,2.6,3.2,2.1,0.5,0.2,0.6,1.4,5.2
Bilal Coulibaly,SF,19,WAS,11,1,25.7,3.1,5.9,0.523,1.5,3.1,0.471,1.6,2.8,0.581,0.646,0.7,1.4,0.533,0.5,3.6,4.1,1.8,1.0,0.8,1.2,1.9,8.4
Robert Covington,SF-PF,33,TOT,11,5,17.4,1.5,3.8,0.381,0.5,2.4,0.192,1.0,1.5,0.688,0.44,0.8,0.9,0.9,0.9,1.5,2.5,0.9,1.7,0.5,0.2,1.6,4.2
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,0.333,0.7,2.7,0.25,0.3,0.3,1.0,0.444,0.3,0.7,0.5,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
Robert Covington,SF,33,PHI,8,2,15.3,1.6,4.1,0.394,0.4,2.3,0.167,1.3,1.9,0.667,0.439,1.0,1.0,1.0,1.0,1.4,2.4,0.4,1.6,0.4,0.3,1.4,4.6
Torrey Craig,SF,33,CHI,12,7,23.1,2.1,5.2,0.403,0.8,2.3,0.321,1.3,2.8,0.471,0.476,0.4,0.4,1.0,2.2,3.7,5.8,1.4,0.8,0.3,0.5,2.7,5.3
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,0.532,1.8,3.4,0.516,1.0,1.8,0.563,0.702,0.8,1.3,0.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Cade Cunningham,PG,22,DET,12,12,36.2,8.0,19.9,0.402,1.8,6.2,0.297,6.2,13.8,0.448,0.448,3.5,4.0,0.875,0.5,3.1,3.6,7.3,0.8,0.3,5.0,3.3,21.3
Seth Curry,SG,33,DAL,9,0,10.1,1.2,2.9,0.423,0.4,1.6,0.286,0.8,1.3,0.583,0.5,0.7,0.8,0.857,0.3,1.0,1.3,0.9,0.7,0.1,0.4,0.7,3.6
Stephen Curry,PG,35,GSW,11,11,32.5,9.5,19.5,0.488,5.6,12.6,0.446,3.9,6.9,0.566,0.633,6.0,6.5,0.93,0.9,3.7,4.6,3.9,1.0,0.2,3.7,1.5,30.7
Dyson Daniels,PG,20,NOP,11,4,26.3,3.3,7.2,0.456,1.1,3.1,0.353,2.2,4.1,0.533,0.532,0.8,1.5,0.563,1.2,3.6,4.8,3.3,1.4,0.5,1.5,1.9,8.5
Anthony Davis,C,30,LAL,11,11,36.0,8.0,15.3,0.524,0.3,0.8,0.333,7.7,14.5,0.535,0.533,5.8,6.5,0.889,2.9,8.7,11.6,3.5,0.6,3.4,1.7,2.8,22.1
Johnny Davis,SG,21,WAS,6,0,10.5,2.3,4.3,0.538,0.2,0.3,0.5,2.2,4.0,0.542,0.558,0.3,0.5,0.667,0.5,0.8,1.3,0.3,0.8,0.2,0.3,1.0,5.2
DeMar DeRozan,SF,34,CHI,11,11,34.9,7.5,17.2,0.434,0.7,2.3,0.32,6.7,14.9,0.451,0.455,5.5,6.5,0.847,1.2,1.8,3.0,4.5,1.1,1.1,0.8,2.2,21.2
Gradey Dick,SG,20,TOR,11,1,16.2,1.4,4.6,0.294,0.7,2.9,0.25,0.6,1.7,0.368,0.373,0.9,0.9,1.0,0.6,1.0,1.6,1.1,0.3,0.0,0.8,1.8,4.4
Ousmane Dieng,PF,20,OKC,10,0,11.3,1.3,3.4,0.382,0.7,2.5,0.28,0.6,0.9,0.667,0.485,0.3,0.4,0.75,0.5,1.5,2.0,0.9,0.1,0.0,0.4,0.6,3.6
Spencer Dinwiddie,PG,30,BRK,10,10,28.1,4.2,9.4,0.447,2.4,6.0,0.4,1.8,3.4,0.529,0.574,1.7,2.6,0.654,0.2,3.1,3.3,5.2,0.4,0.1,1.3,1.6,12.5
Donte DiVincenzo,SG,27,NYK,11,0,19.6,2.5,6.9,0.368,1.4,4.3,0.319,1.2,2.6,0.448,0.467,0.6,1.1,0.583,0.9,2.1,3.0,1.7,0.9,0.4,1.4,1.6,7.1
Luka Dončić,PG,24,DAL,12,12,34.8,10.3,20.6,0.502,4.2,9.9,0.42,6.2,10.7,0.578,0.603,5.8,7.7,0.761,0.7,7.1,7.8,8.1,1.1,0.4,4.4,1.8,30.7
Luguentz Dort,SF,24,OKC,11,11,29.7,4.2,8.5,0.489,2.2,4.6,0.471,2.0,3.9,0.512,0.617,2.5,3.2,0.8,1.4,3.3,4.6,1.2,1.4,1.1,1.1,2.9,13.1
Ayo Dosunmu,SG,24,CHI,10,0,15.3,2.3,4.3,0.535,0.9,2.0,0.45,1.4,2.3,0.609,0.64,0.3,0.4,0.75,0.6,0.9,1.5,1.2,0.5,0.1,0.5,1.1,5.8
Chris Duarte,SF,26,SAC,10,0,13.2,1.4,4.1,0.341,0.7,2.5,0.28,0.7,1.6,0.438,0.427,0.8,1.1,0.727,0.1,1.1,1.2,1.0,0.5,0.1,0.5,2.9,4.3
Kris Dunn,PG,29,UTA,9,0,11.3,1.4,3.6,0.406,0.3,0.9,0.375,1.1,2.7,0.417,0.453,0.4,0.7,0.667,0.3,1.7,2.0,2.2,0.6,0.0,1.2,1.4,3.7
Kevin Durant,PF,35,PHO,11,11,36.6,10.2,19.8,0.514,1.8,4.0,0.455,8.4,15.8,0.529,0.56,7.9,9.2,0.861,0.5,6.5,7.0,4.7,0.8,1.2,3.9,1.7,30.1
Jalen Duren,C,20,DET,8,8,28.9,5.8,9.3,0.622,0.0,0.1,0.0,5.8,9.1,0.63,0.622,1.1,1.5,0.75,3.5,7.1,10.6,3.1,0.6,1.1,2.8,3.5,12.6
Anthony Edwards,SG,22,MIN,11,11,35.5,9.5,20.5,0.467,2.4,6.4,0.371,7.2,14.1,0.51,0.524,4.8,5.8,0.828,0.8,5.0,5.8,5.2,1.5,0.4,3.5,1.5,26.3
Kessler Edwards,SF,23,SAC,8,0,4.5,0.1,0.8,0.167,0.1,0.5,0.25,0.0,0.3,0.0,0.25,0.1,0.3,0.5,0.0,0.6,0.6,0.4,0.1,0.1,0.1,0.6,0.5
Keon Ellis,SG,24,SAC,7,2,12.9,1.3,3.6,0.36,0.7,2.9,0.25,0.6,0.7,0.8,0.46,0.9,1.6,0.545,0.4,1.3,1.7,0.9,0.7,0.6,0.7,1.3,4.1
Joel Embiid,C,29,PHI,11,11,34.1,10.7,21.3,0.504,1.1,3.5,0.308,9.6,17.7,0.544,0.53,9.4,10.7,0.873,3.4,8.1,11.5,5.8,0.9,1.7,3.7,2.6,31.9
Drew Eubanks,C,26,PHO,11,0,18.8,3.2,5.0,0.636,0.1,0.1,1.0,3.1,4.9,0.63,0.645,1.4,1.7,0.789,1.6,3.4,5.0,2.1,0.3,1.4,1.4,2.1,7.8
Dante Exum,PG,28,DAL,11,0,9.3,1.7,3.6,0.475,0.3,0.8,0.333,1.5,2.8,0.516,0.513,0.4,0.6,0.571,0.4,1.8,2.2,1.3,0.3,0.2,0.2,1.2,4.1
Dorian Finney-Smith,PF,30,BRK,11,10,30.4,4.4,9.4,0.466,3.0,6.8,0.44,1.4,2.5,0.536,0.626,0.1,0.3,0.333,2.0,3.3,5.3,1.4,0.3,0.7,0.9,2.5,11.8
Malachi Flynn,PG,25,TOR,11,0,16.4,2.0,4.7,0.423,1.0,2.9,0.344,1.0,1.8,0.55,0.529,0.6,0.7,0.875,0.5,1.4,1.8,2.2,0.8,0.1,1.1,1.4,5.6
Jordan Ford,PG,25,SAC,4,0,3.0,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,0.333,0.5,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.8
De'Aaron Fox,PG,26,SAC,5,5,36.2,11.0,22.4,0.491,2.8,7.8,0.359,8.2,14.6,0.562,0.554,5.2,7.0,0.743,1.4,2.6,4.0,5.8,1.8,0.4,2.4,3.4,30.0
Markelle Fultz,PG,25,ORL,5,5,28.6,5.4,11.2,0.482,0.0,0.6,0.0,5.4,10.6,0.509,0.482,0.6,0.8,0.75,1.6,1.8,3.4,4.0,1.2,0.4,1.2,1.2,11.4
Danilo Gallinari,PF,35,WAS,10,0,14.8,3.0,5.7,0.526,0.8,2.4,0.333,2.2,3.3,0.667,0.596,2.0,2.5,0.8,0.7,2.1,2.8,1.6,0.3,0.1,0.6,0.7,8.8
Darius Garland,PG,24,CLE,6,6,33.3,5.8,13.0,0.449,1.3,4.7,0.286,4.5,8.3,0.54,0.5,4.2,5.0,0.833,0.7,2.2,2.8,6.2,1.8,0.3,4.8,2.2,17.2
Luka Garza,C,25,MIN,3,0,3.7,1.3,3.0,0.444,0.0,0.3,0.0,1.3,2.7,0.5,0.444,1.3,2.0,0.667,1.0,0.7,1.7,0.0,0.0,0.0,0.0,1.0,4.0
Keyonte George,PG,20,UTA,11,3,23.0,2.7,7.1,0.385,1.3,4.2,0.304,1.5,2.9,0.5,0.474,1.3,1.5,0.824,0.4,2.1,2.5,4.8,0.4,0.2,1.7,1.0,8.0
Paul George,PF,33,LAC,10,10,34.1,8.0,16.9,0.473,3.2,8.2,0.39,4.8,8.7,0.552,0.568,5.5,5.9,0.932,0.5,5.0,5.5,3.6,2.4,0.1,3.0,2.8,24.7
Josh Giddey,SG,21,OKC,11,11,28.0,5.5,12.8,0.433,0.4,1.9,0.19,5.2,10.9,0.475,0.447,1.1,1.4,0.8,1.3,4.5,5.8,5.3,0.6,0.6,3.0,1.0,12.5
Shai Gilgeous-Alexander,PG,25,OKC,10,10,34.9,11.1,20.8,0.534,1.2,3.9,0.308,9.9,16.9,0.586,0.563,5.9,6.5,0.908,0.7,6.2,6.9,5.9,2.6,0.7,2.3,2.2,29.3
Anthony Gill,PF,31,WAS,6,0,6.8,1.0,2.2,0.462,0.0,0.2,0.0,1.0,2.0,0.5,0.462,1.0,1.3,0.75,0.5,0.8,1.3,0.5,0.3,0.5,0.8,0.7,3.0
Collin Gillespie,PG,24,DEN,6,0,11.8,1.3,3.0,0.444,0.5,1.8,0.273,0.8,1.2,0.714,0.528,0.2,0.2,1.0,0.0,0.5,0.5,1.2,0.8,0.0,0.3,1.5,3.3
Jordan Goodwin,PG,25,PHO,11,0,18.1,2.3,6.7,0.338,1.3,3.5,0.359,1.0,3.2,0.314,0.432,0.9,1.2,0.769,1.0,2.8,3.8,2.0,1.0,0.5,0.9,1.3,6.7
Aaron Gordon,PF,28,DEN,11,11,32.5,6.0,10.6,0.564,0.6,2.0,0.318,5.4,8.6,0.621,0.594,1.6,2.8,0.581,2.2,4.8,7.0,4.0,1.2,1.1,2.1,1.8,14.3
Eric Gordon,SG,35,PHO,10,6,29.5,5.6,12.1,0.463,2.2,6.2,0.355,3.4,5.9,0.576,0.554,0.3,0.3,1.0,0.5,1.6,2.1,3.0,0.9,0.4,1.4,1.1,13.7
Devonte' Graham,PG,28,SAS,2,0,14.5,0.5,2.5,0.2,0.0,1.5,0.0,0.5,1.0,0.5,0.2,2.0,2.5,0.8,0.5,0.5,1.0,4.0,1.0,0.5,1.0,1.0,3.0
Jerami Grant,PF,29,POR,11,11,36.1,7.7,17.9,0.431,2.3,6.5,0.352,5.5,11.5,0.476,0.495,4.8,6.2,0.779,0.9,3.5,4.5,1.8,0.5,0.9,2.7,2.5,22.5
A.J. Green,SG,24,MIL,5,0,8.6,0.8,2.2,0.364,0.6,1.8,0.333,0.2,0.4,0.5,0.5,0.2,0.2,1.0,0.0,0.8,0.8,1.2,0.0,0.0,0.0,0.8,2.4
Draymond Green,PF,33,GSW,9,9,22.2,3.0,6.2,0.482,1.0,2.2,0.45,2.0,4.0,0.5,0.563,1.8,2.0,0.889,1.4,3.7,5.1,5.7,0.7,0.6,1.8,2.4,8.8
Jalen Green,SG,21,HOU,9,9,32.1,6.0,14.6,0.412,2.0,5.0,0.4,4.0,9.6,0.419,0.481,5.0,6.4,0.776,0.4,4.2,4.7,2.7,0.7,0.3,2.1,1.6,19.0
Jeff Green,PF,37,HOU,9,0,15.3,2.4,4.0,0.611,0.4,1.2,0.364,2.0,2.8,0.72,0.667,1.9,2.7,0.708,1.2,2.0,3.2,0.4,0.2,0.2,0.6,1.1,7.2
Josh Green,SG,23,DAL,12,3,26.3,2.4,6.0,0.403,1.3,3.7,0.341,1.2,2.3,0.5,0.507,0.6,1.2,0.5,0.6,2.0,2.6,2.2,1.0,0.2,1.0,1.8,6.7
AJ Griffin,SF,20,ATL,7,0,9.1,1.1,2.4,0.471,0.9,2.0,0.429,0.3,0.4,0.667,0.647,0.3,0.3,1.0,0.1,0.6,0.7,0.3,0.1,0.0,0.6,0.6,3.4
Quentin Grimes,SG,23,NYK,11,11,24.7,2.9,6.8,0.427,2.3,5.7,0.397,0.6,1.1,0.583,0.593,0.0,0.1,0.0,0.1,1.3,1.4,1.1,0.7,0.0,0.6,1.7,8.1
